ST250Q02JA,ST250Q03JA,ST250Q05JA,ST006Q03JA,ST008Q03JA,SC183Q02JA,SC183Q04JA,SC184Q01JA,SC184Q02JA,SC184Q03JA,SC184Q04JA,SC184Q05JA,SC184Q06JA,SC184Q07JA,SC215Q01JA,SC217Q04JA,SC217Q05JA,PRIVATESCH,ST250D06JA,ST250D07JA,ST251D08JA,ST251D09JA,ST259Q01JA,ST251Q03JA,ST251Q04JA,ST253Q01JA,ST254Q01JA,ST038Q05NA,ST038Q06NA,ST038Q07NA,ST265Q01JA,ST265Q02JA,ST265Q03JA,ST265Q04JA,ST268Q07JA,ST268Q08JA,ST268Q09JA,ST337Q03JA,ST337Q04JA,ST337Q05JA,ST337Q06JA,ST337Q07JA,ST337Q08JA,ST338Q01JA,ST338Q02JA,ST338Q03JA,ST338Q04JA,ST338Q05JA,ST338Q06JA,ST338Q07JA,ST338Q08JA,ST341Q01JA,ST341Q02JA,ST341Q04JA,ST341Q05JA,SC037Q03TA,SC037Q04TA,SC037Q05NA,SC037Q06NA,SC037Q08TA,SC017Q02NA,SC017Q04NA,SC017Q05NA,SC017Q06NA,SC017Q07NA,SC017Q09JA,SC017Q10JA,SC061Q11HA,SC155Q08HA,SC182Q06WA02,SC182Q07JA02,SC182Q08JA02,SC172Q04JA,SC172Q07JA,SC173Q05JA,SC202Q01JA,SC202Q03JA,SC202Q04JA,SC202Q05JA,SC202Q08JA,SC204Q02JA,SC204Q05JA,SC205Q01JA,SC205Q02JA,SC205Q03JA,SC205Q05JA,SC205Q07JA,SC208Q01JA,SC208Q02JA,SC208Q03JA,SC208Q04JA,SC208Q07JA,SC208Q08JA,SC208Q09JA,SC216Q01JA,SC216Q03JA,SC216Q07JA,SC222Q02JA,SC223Q01JA,SC223Q05JA,SC223Q09JA,SCHLTYPE,SCSUPRTED,FL164Q02HA,FL164Q03HA,FL164Q04HA,FL164Q05HA,FL164Q06HA,FL164Q07HA,FL164Q08HA,FL164Q11HA,FL164Q15HA,FL164Q16HA,FL166Q05HA,FL166Q06HA,FL166Q07HA,FL174Q05JA,FL174Q07JA,FL167Q01HA,FL167Q05HA,FL162Q01HA,FL162Q02HA,FL162Q03HA,FL162Q04HA,FL162Q05HA,FL162Q06HA,FL163Q01HA,FL163Q03HA,FL163Q04HA,FL163Q05HA,FL171Q03JA,FL171Q04JA,FL171Q05JA,FL171Q07JA,FL171Q10JA,FL171Q11JA,FL169Q03HA,FL169Q04HA,FL169Q08JA,FL169Q10JA,PROGN,GRADE,SRESPCUR,SRESPRES,RCORE_PERF,RCO1S_PERF,RS2_TEST,VER_DAT_stu,ISCEDP,MCLSIZE,CLSIZE,VER_DAT
0.0,0.0,0.0,0.0,0.0,1,0,1,1,1,1,1,1,1,0.0,0.0,0.0,0,6040002,6040002,6040002,6040001,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,0,0,0,0,1,0,0,2,2,0.0,0.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,2,2,0,0,0,1,0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,,,,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,6040002,0.0,0.5,0.1429,1,1,1,1,1,5,5,1
1.0,1.0,1.0,0.0,0.0,1,1,1,1,1,1,1,1,0,0.0,1.0,1.0,1,6040002,6040001,6040003,6040004,7.0,2.0,1.0,6.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,3.0,3.0,2.0,4.0,4.0,3.0,2.0,2.0,3.0,3.0,3.0,0.0,0.0,0.0,1.0,0,0,1,1,0,3,3,2,2,2,1,2,2,2,0.0,0.0,0.0,3,0,3,4,3,3,5,0,1,0,0,0,1,1,0,0,2,0,1,0,0,0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1,2.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,6040002,0.0,1.0,7.0,2,2,0,2,1,4,4,2
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0,6040002,6040002,6040001,6040001,1.0,0.0,,,,0.0,0.0,0.0,2.0,1.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,0,0,1,1,0,2,0,0,3,0,0,3,0,1,0.0,0.0,0.0,1,1,1,0,0,0,4,0,0,0,1,1,1,0,1,2,1,1,2,0,2,1,1.0,1.0,0.0,2.0,2.0,1.0,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,6040001,-1.0,0.2,0.3333,0,0,0,0,0,4,4,0
0.0,0.0,1.0,0.0,,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0,6040002,6040002,6040001,6040002,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,5.0,2.0,4.0,2.0,2.0,0.0,0.0,,0.0,3.0,5.0,2.0,0.0,0.0,2.0,3.0,3.0,2.0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0.0,0.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,1,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,0.0,0.0,3.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,6040002,0.0,0.5,0.1429,1,1,1,0,1,4,4,0
0.0,0.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,6040002,6040002,6040002,6040002,5.0,0.0,0.0,5.0,0.0,3.0,2.0,3.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,4.0,2.0,0.0,2.0,2.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,3.0,0.0,,,,,0,0,1,1,1,3,0,0,0,2,0,0,0,0,0.0,0.0,0.0,1,0,2,1,0,0,0,0,0,0,1,1,1,2,1,2,2,1,0,0,0,1,2.0,2.0,3.0,3.0,1.0,1.0,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,6040002,0.0,1.0,0.3333,2,3,2,0,1,0,0,0
0.0,0.0,1.0,0.0,0.0,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,1,6040002,6040002,6040002,6040002,3.0,,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,0,0,1,1,0,3,3,2,2,2,1,2,0,0,0.0,1.0,0.0,3,0,3,2,1,1,1,1,0,0,0,0,0,1,0,2,1,2,1,2,0,1,3.0,3.0,2.0,3.0,1.0,1.0,1.0,1,0.0,1.0,0.0,2.0,1.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,0.0,1.0,0.0,3.0,2.0,2.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,6040002,0.0,5.0,7.0,1,1,1,2,1,3,3,2
1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,6040002,6040002,6040002,6040001,7.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,,0.0,5.0,5.0,0.0,1.0,,,,,,,,,,,,,1,0,1,1,1,0,2,0,0,1,3,0,1,1,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1,1,3,1,2,0,1,1,1,2,1,2,3,3,1.0,1.0,1.0,3.0,1.0,1.0,1.0,0,1.0,,,,,,,,,,,0.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,6040002,1.0,0.5,0.6,2,0,0,1,1,3,3,1
0.0,0.0,0.0,,,1,1,1,1,1,0,1,1,0,0.0,0.0,0.0,0,6040002,6040002,6040001,6040001,5.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,1.0,1.0,4.0,2.0,2.0,1.0,5.0,4.0,0.0,1.0,4.0,1.0,4.0,1.0,2.0,1.0,2.0,0.0,0.0,3.0,1,0,1,1,0,3,0,2,2,2,1,2,0,1,0.0,0.0,0.0,1,1,2,0,0,0,1,0,1,1,1,0,1,1,1,2,2,2,1,2,0,1,1.0,1.0,1.0,3.0,1.0,1.0,1.0,0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,6040002,0.0,1.0,0.6,0,0,0,1,1,4,4,1
0.0,0.0,0.0,1.0,1.0,1,0,1,0,0,0,1,1,1,0.0,0.0,0.0,0,6040002,6040002,6040001,6040002,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,2.0,0.0,3.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,1,0,1,3,3,3,3,2,3,1,2,1,0.0,0.0,0.0,1,1,3,1,0,0,0,0,1,1,1,1,1,0,0,2,2,1,1,2,2,2,0.0,1.0,1.0,2.0,1.0,1.0,2.0,0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,0.0,2.0,1.0,1.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,4.0,4.0,0.0,1.0,0.0,0.0,3.0,0.0,6040002,0.0,0.5,0.1429,1,1,1,1,1,0,0,1
0.0,0.0,0.0,,,1,0,1,1,1,1,1,1,1,0.0,0.0,0.0,0,6040002,6040002,6040002,6040001,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,3.0,3.0,2.0,,,,,,,,,,,,,,,,,,,1,1,1,0,0,1,2,1,1,2,0,0,0,0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,1,0,0,1,2.0,2.0,0.0,0.0,1.0,1.0,1.0,0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,0.0,0.0,2.0,3.0,0.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,2.0,1.0,6040002,0.0,0.2,0.3333,1,1,1,0,1,4,4,0
1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,6040001,6040002,6040002,6040003,5.0,0.0,0.0,7.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0,3,1,0,0,0,2,0,1,1,1,1,1,1,1,2,2,1,1,0,0,1,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0,1.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,4.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,6040002,0.0,1.0,0.1429,2,1,1,0,1,3,3,0
1.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0,6040002,6040002,6040001,6040001,3.0,,,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,2.0,3.0,2.0,0,0,1,1,0,2,0,0,3,0,0,3,0,1,0.0,0.0,0.0,1,1,1,0,0,0,4,0,0,0,1,1,1,0,1,2,1,1,2,0,2,1,1.0,1.0,0.0,2.0,2.0,1.0,1.0,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,3.0,6040002,0.0,0.2,0.3333,0,0,4,0,1,4,4,0
1.0,1.0,1.0,1.0,1.0,1,1,1,1,0,1,1,1,1,,,,1,6040001,6040001,6040004,6040004,8.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,5.0,3.0,0.0,2.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,3.0,2.0,0.0,2.0,1,1,1,1,0,1,1,2,2,2,1,2,0,0,0.0,0.0,0.0,1,0,3,2,3,3,5,3,0,0,0,0,0,2,0,0,0,0,0,0,0,1,,,,,,,,1,,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,3.0,4.0,0.0,2.0,2.0,2.0,0.0,1.0,0.0,6040002,0.0,5.0,7.0,1,1,1,2,1,0,0,2
1.0,0.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,6040001,6040001,6040001,6040001,5.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,2,2,0,0,0,0,0,0,1,0.0,0.0,0.0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,1,2,2,2,2,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,,,,,,,6040001,-2.0,1.0,0.3333,2,0,4,0,0,5,5,0
1.0,0.0,0.0,1.0,1.0,0,0,1,1,1,1,1,1,1,0.0,0.0,0.0,1,6040001,6040002,6040003,6040004,6.0,2.0,2.0,6.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,3.0,1.0,1,0,1,1,0,3,3,2,2,2,1,2,2,0,0.0,0.0,0.0,3,0,4,2,1,1,1,4,0,0,0,0,0,2,0,0,2,0,1,0,0,1,2.0,3.0,2.0,2.0,1.0,1.0,1.0,1,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,3.0,1.0,1.0,2.0,3.0,2.0,6040002,0.0,5.0,7.0,1,1,1,1,1,3,3,1
1.0,0.0,1.0,0.0,0.0,1,1,1,1,0,1,1,1,1,1.0,0.0,0.0,1,6040001,6040001,6040003,6040002,9.0,2.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,4.0,3.0,2.0,3.0,3.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0,1,1,1,0,3,3,2,2,2,1,2,0,2,0.0,0.0,0.0,3,0,0,4,3,3,5,4,0,0,1,0,0,2,0,0,0,1,1,0,0,1,2.0,2.0,3.0,3.0,1.0,1.0,0.0,1,1.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,2.0,,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,3.0,0.0,3.0,0.0,1.0,2.0,6040002,0.0,2.0,7.0,2,3,3,2,1,7,3,2
0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,0,1,1,1,0.0,0.0,0.0,0,6040002,6040002,6040002,6040002,5.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,2.0,0.0,0.0,3.0,2.0,2.0,3.0,3.0,3.0,0.0,0.0,0.0,1.0,0,0,1,1,0,1,1,3,1,3,2,3,0,1,0.0,0.0,0.0,3,1,2,2,0,0,0,4,0,0,1,1,1,1,1,2,2,1,1,0,0,1,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0,1.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,4.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,2.0,1.0,6040002,0.0,1.0,0.6,0,3,6,0,1,3,3,0
1.0,1.0,1.0,0.0,0.0,1,0,0,0,1,1,1,1,1,0.0,0.0,0.0,0,6040002,6040002,6040002,6040002,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,1,1,0,1,3,0,0,0,0,0,0,0,0.0,0.0,0.0,3,0,3,1,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0,3.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,6040002,0.0,2.0,0.1429,3,2,5,0,1,5,5,0
0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,0,1,1,0,0.0,0.0,0.0,0,6040002,6040001,6040002,6040003,6.0,,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,2.0,3.0,2.0,1,0,1,1,0,3,0,2,2,2,1,2,0,1,0.0,0.0,0.0,1,1,2,0,0,0,1,0,1,1,1,0,1,1,1,2,2,2,1,2,0,1,1.0,1.0,1.0,3.0,1.0,1.0,1.0,0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,6040002,0.0,1.0,0.6,1,1,1,1,1,4,4,1
0.0,0.0,0.0,,,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0,6040002,6040002,6040001,6040003,4.0,2.0,2.0,2.0,,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,3.0,,4.0,1.0,1.0,1.0,,,,,,,,,0.0,0.0,0.0,1.0,0,0,1,1,0,2,0,0,3,0,0,3,0,1,0.0,0.0,0.0,1,1,1,0,0,0,4,0,0,0,1,1,1,0,1,2,1,1,2,0,2,1,1.0,1.0,0.0,2.0,2.0,1.0,1.0,0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,0.0,0.0,2.0,3.0,0.0,2.0,6040002,0.0,0.2,0.3333,1,1,1,0,1,4,4,0
0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,6040002,6040002,6040001,6040002,5.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,2.0,3.0,3.0,2.0,4.0,4.0,3.0,2.0,2.0,3.0,3.0,3.0,0.0,1.0,0.0,1.0,0,0,0,0,1,2,2,0,0,0,0,0,1,1,0.0,0.0,0.0,2,2,1,1,0,0,0,1,1,0,1,1,1,1,0,1,1,2,2,0,0,1,1.0,1.0,0.0,3.0,1.0,1.0,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,1.0,2.0,1.0,6040002,0.0,1.0,0.1429,1,1,1,1,1,1,1,1
1.0,1.0,1.0,0.0,0.0,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,1,6040002,6040002,6040002,6040003,5.0,0.0,0.0,6.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,3.0,3.0,4.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,0,3,3,2,2,2,1,2,0,2,4.0,6.0,6.0,1,1,3,2,1,1,5,3,1,0,0,0,0,2,0,2,1,1,1,0,0,1,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,6040002,0.0,1.0,7.0,1,1,1,1,1,3,3,1
1.0,1.0,0.0,,1.0,1,0,1,1,1,1,1,1,0,0.0,0.0,0.0,0,6040002,6040001,6040002,6040004,7.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0,0,1,1,1,3,3,3,1,2,2,1,0,1,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,1,0,0,2,0,2,2,1,0,1,0,1,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,3.0,6040002,0.0,0.5,0.1429,3,3,2,3,1,0,0,3
1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0,6040002,6040001,6040002,6040002,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,5.0,2.0,3.0,2.0,3.0,0,0,0,0,0,0,2,1,1,2,0,0,0,0,0.0,0.0,0.0,3,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,6040002,0.0,0.2,0.3333,1,1,1,1,1,0,0,1
1.0,1.0,1.0,1.0,1.0,1,0,1,1,1,1,1,1,1,0.0,0.0,0.0,1,6040002,6040002,6040002,6040001,5.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,4.0,3.0,2.0,3.0,3.0,2.0,4.0,4.0,0.0,2.0,0.0,3.0,0.0,4.0,1.0,1.0,3.0,1.0,1,1,1,1,0,1,1,3,3,2,2,1,0,0,0.0,0.0,0.0,3,1,1,2,2,2,3,4,0,1,1,1,1,1,1,2,2,0,1,0,0,0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,6040002,1.0,5.0,7.0,3,2,3,2,1,0,0,2
0.0,0.0,1.0,,,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0,6040002,6040001,6040001,6040003,7.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,5.0,0.0,5.0,3.0,3.0,3.0,2.0,4.0,3.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0,0,1,1,0,2,0,0,3,0,0,3,0,1,0.0,0.0,0.0,1,1,1,0,0,0,4,0,0,0,1,1,1,0,1,2,1,1,2,0,2,1,1.0,1.0,0.0,2.0,2.0,1.0,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,0.0,2.0,0.0,2.0,6040002,0.0,0.2,0.3333,1,1,1,0,1,4,4,0
